dataset,rung,model,split,train_rate,seed,auprc,auroc,best_f1,n_train,n_test,n_feats,wall_s
yelp,b0,xgboost,random,0.1,1,0.7671581198544708,0.9294761502802404,0.690062800147765,4596,36762,132,1.49
yelp,b,lightgbm,random,0.1,1,0.767338512245755,0.9285082088851371,0.6904739990796135,4596,36762,136,8.58
yelp,b,xgboost,random,0.1,1,0.7609145515746387,0.9275937058374262,0.6880554568076787,4596,36762,136,1.52
yelp,a,lightgbm,random,0.1,2,0.7219385250266541,0.9058390279068839,0.6579299789554237,4596,36762,32,7.03
yelp,a,xgboost,random,0.1,2,0.6850508992104787,0.8923923117639427,0.6264109387904928,4596,36762,32,1.07
yelp,aL,lightgbm,random,0.1,2,0.708785147767641,0.9054875849663317,0.6453248216297409,4596,36762,36,7.2
yelp,aL,xgboost,random,0.1,2,0.6761658336897698,0.8932929695841595,0.6203968620212276,4596,36762,36,1.1
yelp,b0,lightgbm,random,0.1,2,0.7967941522258618,0.9376735170937551,0.7180786190074117,4596,36762,132,8.72
yelp,b0,xgboost,random,0.1,2,0.7969047603750166,0.9394894555825946,0.7207240832322478,4596,36762,132,1.5
yelp,b,lightgbm,random,0.1,2,0.7943169259058163,0.936712449152456,0.7194396469007868,4596,36762,136,8.69
yelp,b,xgboost,random,0.1,2,0.7935833636203583,0.9377026078622622,0.7174176695587274,4596,36762,136,1.52
yelp,a,lightgbm,random,0.1,3,0.7036588452440666,0.8990464109246478,0.6418076994606658,4596,36762,32,6.97
yelp,a,xgboost,random,0.1,3,0.6827281464507842,0.8939929267244359,0.628331246646396,4596,36762,32,1.07
yelp,aL,lightgbm,random,0.1,3,0.6965552599030405,0.8972910732378807,0.636901964470345,4596,36762,36,7.08
yelp,aL,xgboost,random,0.1,3,0.6851652891517134,0.8943625648025618,0.6262772402568044,4596,36762,36,1.08
yelp,b0,lightgbm,random,0.1,3,0.7966804271788545,0.9352724024823303,0.7165921027037541,4596,36762,132,8.75
yelp,b0,xgboost,random,0.1,3,0.7862591521839757,0.9353661907147998,0.7094854070660521,4596,36762,132,1.5
yelp,b,lightgbm,random,0.1,3,0.7925577564341059,0.9343617934979583,0.7139822325222093,4596,36762,136,8.72
yelp,b,xgboost,random,0.1,3,0.784083033307374,0.9339413836269063,0.7044159544159544,4596,36762,136,1.51
yelp,a,lightgbm,random,0.1,4,0.7027949262573558,0.9020173875916646,0.6458810068649885,4596,36762,32,6.93
yelp,a,xgboost,random,0.1,4,0.6934406476993753,0.8969866182643631,0.6413694721825963,4596,36762,32,1.07
yelp,aL,lightgbm,random,0.1,4,0.7106791950109987,0.9088109043498211,0.653719806763285,4596,36762,36,7.08
yelp,aL,xgboost,random,0.1,4,0.6858026934410558,0.8973038071527312,0.6272475795297372,4596,36762,36,1.08
yelp,b0,lightgbm,random,0.1,4,0.780459490485353,0.931658497187941,0.7058149527356059,4596,36762,132,8.7
yelp,b0,xgboost,random,0.1,4,0.7780905799238256,0.9326311936902278,0.7088229807871665,4596,36762,132,1.49
